n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
6.300000000000000000e+01,6.100000000000000000e+01,1.000000000000000000e+00,1.900000000000000000e+01,2.300000000000000000e+01,1.300000000000000000e+01,9.800000000000000000e+01,1.700000000000000000e+01,9.700000000000000000e+01,4.600000000000000000e+01,1.700000000000000000e+01
7.700000000000000000e+01,2.600000000000000000e+01,7.600000000000000000e+01,7.700000000000000000e+01,4.600000000000000000e+01,6.600000000000000000e+01,4.200000000000000000e+01,5.400000000000000000e+01,5.800000000000000000e+01,1.000000000000000000e+01,2.600000000000000000e+01
5.500000000000000000e+01,6.300000000000000000e+01,8.700000000000000000e+01,5.200000000000000000e+01,9.500000000000000000e+01,5.900000000000000000e+01,5.700000000000000000e+01,2.000000000000000000e+01,5.500000000000000000e+01,1.470000000000000107e+01,2.600000000000000000e+01
8.000000000000000000e+01,5.400000000000000000e+01,8.200000000000000000e+01,3.700000000000000000e+01,9.000000000000000000e+01,4.200000000000000000e+01,2.800000000000000000e+01,6.200000000000000000e+01,6.400000000000000000e+01,4.000000000000000000e+01,2.460000000000000142e+01
2.500000000000000000e+01,0.000000000000000000e+00,6.600000000000000000e+01,4.500000000000000000e+01,4.100000000000000000e+01,7.800000000000000000e+01,3.400000000000000000e+01,4.000000000000000000e+00,9.400000000000000000e+01,2.414999999999790958e+01,1.500000000000069278e+01
1.000000000000000000e+00,9.700000000000000000e+01,9.700000000000000000e+01,2.100204677581787038e+01,1.600000000000000000e+01,6.800000000000000000e+01,1.971249999999999858e+01,5.626250000000000284e+01,8.351874999999999716e+01,2.103076171875000000e+01,4.500000858306884766e+01
8.600000000000000000e+01,3.000000000000000000e+01,6.700000000000000000e+01,4.700000000000000000e+01,9.000000000000000000e+00,7.800000000000000000e+01,8.000000000000000000e+00,8.900000000000000000e+01,3.000000000000000000e+01,2.200000000000000000e+01,4.000000000000000000e+01
8.100000000000000000e+01,1.100000000000000000e+01,9.200000000000000000e+01,1.900000000000000000e+01,5.700000000000000000e+01,6.300000000000000000e+01,2.100000000000000000e+01,5.900000000000000000e+01,1.900000000000000000e+01,7.000000000000000000e+00,4.400000000000000000e+01
2.500000000000000000e+01,8.200000000000000000e+01,7.000000000000000000e+00,3.600000000000000000e+01,7.700000000000000000e+01,1.200000000000000000e+01,9.200000000000000000e+01,5.300000000000000000e+01,8.100000000000000000e+01,2.800000000000000000e+01,4.500000000000000000e+01
8.700000000000000000e+01,5.300000000000000000e+01,9.000000000000000000e+00,1.300000000000000000e+01,4.200000000000000000e+01,7.000000000000000000e+00,9.200000000000000000e+01,9.000000000000000000e+01,4.900000000000000000e+01,2.835000000000000142e+01,4.400000000000000000e+01
2.700000000000000000e+01,2.900000000000000000e+01,9.200000000000000000e+01,9.700000000000000000e+01,2.700000000000000000e+01,9.700000000000000000e+01,5.900000000000000000e+01,6.500000000000000000e+01,2.800000000000000000e+01,2.940000000000000213e+01,4.400000000000000000e+01
1.900000000000000000e+01,1.400000000000000000e+01,3.200000000000000000e+01,3.100000000000000000e+01,2.400000000000000000e+01,9.500000000000000000e+01,6.100000000000000000e+01,2.800000000000000000e+01,6.500000000000000000e+01,5.000000000000000000e+01,4.200000000000000000e+01
9.300000000000000000e+01,8.400000000000000000e+01,8.000000000000000000e+01,4.000000000000000000e+00,1.600000000000000000e+01,7.600000000000000000e+01,7.400000000000000000e+01,1.000000000000000000e+00,7.500000000000000000e+01,4.500000000000000000e+01,5.000000000000000000e+01
5.100000000000000000e+01,2.600000000000000000e+01,2.002133178710937322e+00,8.800000000000000000e+01,2.200000000000000000e+01,5.700000000000000000e+01,0.000000000000000000e+00,4.686250000000000426e+01,6.900000000000000000e+01,5.243437500000000284e+01,6.112556304931640483e+01
