n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
9.000000000000000000e+00,3.100000000000000000e+01,9.600000000000000000e+01,1.200000000000000000e+01,9.800000000000000000e+01,7.400000000000000000e+01,8.300000000000000000e+01,1.300000000000000000e+01,9.600000000000000000e+01,1.575000000000000000e+01,4.500000000000000000e+01
4.200000000000000000e+01,3.000000000000000000e+00,5.300000000000000000e+01,6.200000000000000000e+01,1.100000000000000000e+01,9.200000000000000000e+01,5.800000000000000000e+01,5.200000000000000000e+01,7.400000000000000000e+01,1.669997558593750142e+01,3.320624999999999716e+01
6.000000000000000000e+00,5.900000000000000000e+01,6.200000000000000000e+01,8.600000000000000000e+01,8.700000000000000000e+01,9.600000000000000000e+01,6.700000000000000000e+01,7.901542968750000284e+01,2.200000000000000000e+01,6.508789062500000000e+01,1.900000000000000000e+01
3.000000000000000000e+01,2.400000000000000000e+01,3.400000000000000000e+01,3.200000000000000000e+01,8.700000000000000000e+01,7.000000000000000000e+00,8.300000000000000000e+01,1.000000000000000000e+00,6.000000000000000000e+00,2.520000000000000284e+01,3.400000000000000000e+01
2.900000000000000000e+01,1.600000000000000000e+01,9.900000000000000000e+01,5.700000000000000000e+01,8.400000000000000000e+01,4.500000000000000000e+01,1.500000000000000000e+01,3.400000000000000000e+01,3.000000000000000000e+00,2.700000000000000000e+01,3.700115737915039205e+01
1.000000000000000000e+01,9.900000000000000000e+01,5.900000000000000000e+01,4.700000000000000000e+01,2.000000000000000000e+01,2.900000000000000000e+01,1.800000000000000000e+01,1.400000000000000000e+01,3.746249999999999858e+01,2.400000000000000000e+01,4.980000000000000426e+01
1.400000000000000000e+01,9.900000000000000000e+01,5.700000000000000000e+01,3.900000000000000000e+01,8.000000000000000000e+00,5.600000000000000000e+01,5.000000000000000000e+01,4.800000000000000000e+01,7.700000000000000000e+01,8.100000000000000000e+01,7.979999999999999716e+01
9.000000000000000000e+00,6.100000000000000000e+01,8.400000000000000000e+01,6.100000000000000000e+01,5.800000000000000000e+01,2.400000000000000000e+01,6.300000000000000000e+01,7.100000000000000000e+01,2.900000000000000000e+01,2.625000000000000000e+01,9.300000000000000000e+01
9.500000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+01,9.400000000000000000e+01,9.900000000000000000e+01,1.500000000000000000e+01,5.200000000000000000e+01,9.100000000000000000e+01,1.200000000000000000e+01,1.616990966796874218e+01,3.651770324707031534e+01
1.700000000000000000e+01,3.000000000000000000e+01,7.600000000000000000e+01,6.900000000000000000e+01,9.800000000000000000e+01,8.600000000000000000e+01,5.500000000000000000e+01,6.900000000000000000e+01,3.200000000000000000e+01,5.900000000000000000e+01,2.940000000000000213e+01
2.100000000000000000e+01,8.400000000000000000e+01,7.800000000000000000e+01,5.400000000000000000e+01,3.800000000000000000e+01,5.800000000000000000e+01,9.000000000000000000e+01,6.600000000000000000e+01,3.700000000000000000e+01,8.800000000000000000e+01,3.900000000000000000e+01
2.100000000000000000e+01,9.800000000000000000e+01,7.300000000000000000e+01,8.000000000000000000e+00,8.500000000000000000e+01,9.000000000000000000e+01,3.300000000000000000e+01,6.100000000000000000e+01,2.400000000000000000e+01,4.507031250000000000e+01,8.492343750000000568e+01
1.400000000000000000e+01,3.700000000000000000e+01,6.600000000000000000e+01,4.000000000000000000e+01,3.800000000000000000e+01,4.400000000000000000e+01,2.800000000000000000e+01,9.200000000000000000e+01,8.500000000000000000e+01,6.600000000000000000e+01,4.700000000000000000e+01
4.800000000000000000e+01,7.500000000000000000e+01,3.000000000000000000e+00,9.500000000000000000e+01,5.800000000000000000e+01,3.600000000000000000e+01,6.800000000000000000e+01,3.700000000000000000e+01,8.100000000000000000e+01,5.300000000000000000e+01,6.970000000000000284e+01
5.000000000000000000e+00,8.200000000000000000e+01,2.300000000000000000e+01,9.300000000000000000e+01,9.000000000000000000e+01,4.100000000000000000e+01,3.800000000000000000e+01,1.300000000000000000e+01,8.000000000000000000e+01,5.670000000000000284e+01,9.300000000000000000e+01
9.000000000000000000e+00,1.100000000000000000e+01,5.200000000000000000e+01,8.200000000000000000e+01,2.900000000000000000e+01,8.700000000000000000e+01,5.400000000000000000e+01,3.800000000000000000e+01,6.581250000000000000e+01,8.500000000000000000e+01,8.507500000000001705e+01
6.000000000000000000e+01,7.800000000000000000e+01,3.000000000000000000e+01,8.700000000000000000e+01,9.500000000000000000e+01,4.900000000000000000e+01,6.000000000000000000e+00,3.800000000000000000e+01,1.700000000000000000e+01,4.600000000000000000e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.900000000000000000e+01,5.300000000000000000e+01,8.900000000000000000e+01,4.000000000000000000e+01,9.000000000000000000e+01,4.400000000000000000e+01,3.800000000000000000e+01,6.339374999999999716e+01,9.000000000000000000e+01,6.575625000000000853e+01
1.730872434717949204e+01,5.065303757091962922e+01,2.687331638834702119e+01,5.158802837768522664e+01,5.467687369420225707e+01,6.080268901501130330e+01,7.159331638775103890e-04,5.261170443787728601e+01,4.108397106592442327e+01,1.611115945193672161e+01,4.759208442985170262e-03
