n,K1,K2,a1,a2,c1,c2
8.000000000000000000e+01,8.000000000000000000e+01,5.500000000000000000e+01,2.000000000000000000e+00,5.400000000000000000e+01,6.195000000000000284e+01,9.000000000000000000e+01
6.696402914252862502e+02,1.145784400829200820e+02,2.352543091829513600e+01,8.732618193856461630e+01,5.399436537883685787e+02,-3.896879670169116627e-01,1.549576482468811162e-02
8.000000000000000000e+01,4.600000000000000000e+01,6.800000000000000000e+01,9.900000000000000000e+01,3.500000000000000000e+01,3.780000000000000426e+01,6.700000000000000000e+01
6.100000000000000000e+01,7.000000000000000000e+00,6.400000000000000000e+01,5.400000000000000000e+01,2.000000000000000000e+00,7.366249999999999432e+01,8.302551956176756676e+01
2.400000000000000000e+01,5.300000000000000000e+01,6.400000000000000000e+01,2.600000000000000000e+01,4.300000000000000000e+01,9.618750000000000000e+01,6.328749999999999432e+01
4.900000000000000000e+01,8.500000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+01,8.712500000000000000e+01,9.100000000000000000e+01,2.562500000000000000e+01
9.600000000000000000e+01,3.200000000000000000e+01,5.400000000000000000e+01,6.400000000000000000e+01,9.000000000000000000e+00,7.300000000000000000e+01,5.971445312499999858e+01
3.800000000000000000e+01,4.700000000000000000e+01,4.300000000000000000e+01,9.400000000000000000e+01,8.800000000000000000e+01,7.700000000000000000e+01,3.000000000000000000e+01
3.000000000000000000e+01,6.000000000000000000e+01,7.200000000000000000e+01,4.700000000000000000e+01,4.600000000000000000e+01,1.300000000000000000e+01,9.604687500000000000e+01
1.700000000000000000e+01,8.000000000000000000e+01,7.900000000000000000e+01,5.700000000000000000e+01,3.100000000000000000e+01,7.300000000000000000e+01,4.400000000000000000e+01
4.500000000000000000e+01,8.900000000000000000e+01,7.600000000000000000e+01,6.000000000000000000e+00,2.600000000000000000e+01,4.700000000000000000e+01,6.300000000000000000e+01
2.200000000000000000e+01,6.800000000000000000e+01,5.700000000000000000e+01,8.500000000000000000e+01,7.000000000000000000e+01,9.345000000000000284e+01,6.100000000000000000e+01
6.500000000000000000e+01,2.000000000000000000e+00,1.400000000000000000e+01,1.700000000000000000e+01,9.400000000000000000e+01,3.235625000000000284e+01,7.345624999999999716e+01
2.100000000000000000e+01,6.400000000000000000e+01,5.600000000000000000e+01,5.100000000000000000e+01,0.000000000000000000e+00,6.176250000000000284e+01,6.970000000000000284e+01
1.100000000000000000e+01,7.200000000000000000e+01,9.500000000000000000e+01,1.300000000000000000e+01,8.900000000000000000e+01,1.037500000000000000e+01,9.414547119140624432e+01
7.300000000000000000e+01,9.100000000000000000e+01,8.900000000000000000e+01,7.600000000000000000e+01,0.000000000000000000e+00,7.800000000000000000e+01,9.856250000000000000e+01
1.900000000000000000e+01,7.900000000000000000e+01,5.000000000000000000e+01,4.900000000000000000e+01,6.200000000000000000e+01,6.000000000000000000e+01,1.029000000000000057e+02
2.800000000000000000e+01,8.900000000000000000e+01,9.100000000000000000e+01,2.900000000000000000e+01,9.300000000000000000e+01,5.800000000000000000e+01,8.800000000000000000e+01
6.400000000000000000e+01,8.300000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,9.300000000000000000e+01,6.400000000000000000e+01,3.792499999999999716e+01
5.300000000000000000e+01,3.200000000000000000e+01,2.500000000000000000e+01,8.700000000000000000e+01,9.600000000000000000e+01,7.100000000000000000e+01,3.780000000000000426e+01
1.079892385419903711e+01,9.698834722638796091e-01,1.825443063112908604e+01,2.395251474000217939e+01,4.356855002085524120e+01,6.561179033033091912e+01,3.064569269512034566e+01
9.600000000000000000e+01,6.900000000000000000e+01,2.200000000000000000e+01,8.000000000000000000e+00,5.600000000000000000e+01,6.000000000000000000e+00,9.856250000000000000e+01
8.200000000000000000e+01,1.100000000000000000e+01,8.700000000000000000e+01,6.000000000000000000e+00,9.600000000000000000e+01,9.600000000000000000e+01,4.070625000000000426e+01
8.400000000000000000e+01,2.600000000000000000e+01,7.800000000000000000e+01,4.300000000000000000e+01,2.700000000000000000e+01,5.227500000000000568e+01,9.275068359375001137e+01
4.900000000000000000e+01,1.400000000000000000e+01,7.900000000000000000e+01,7.100000000000000000e+01,4.900000000000000000e+01,2.100000000000000000e+01,2.100000000000000000e+01
7.700000000000000000e+01,1.400000000000000000e+01,2.500000000000000000e+01,6.300000000000000000e+01,7.500000000000000000e+01,7.000000000000000000e+00,1.785000000000000142e+01
1.900000000000000000e+01,1.100000000000000000e+01,1.800000000000000000e+01,4.600000000000000000e+01,7.100000000000000000e+01,8.200000000000000000e+01,9.856250000000000000e+01
8.400000000000000000e+01,1.400000000000000000e+01,3.300000000000000000e+01,5.500000000000000000e+01,9.900000000000000000e+01,6.479999999999999716e+01,9.414660644531248579e+01
7.600000000000000000e+01,8.900000000000000000e+01,7.500000000000000000e+01,7.500000000000000000e+01,5.200000000000000000e+01,5.022500000000000142e+01,8.200000000000000000e+01
7.300000000000000000e+01,6.000000000000000000e+00,6.300000000000000000e+01,8.000000000000000000e+00,9.000000000000000000e+01,2.400000000000000000e+01,8.800000000000000000e+01
4.400000000000000000e+01,9.700000000000000000e+01,2.500000000000000000e+01,6.400000000000000000e+01,3.500000000000000000e+01,9.942500000000001137e+01,4.715000000000000568e+01
8.000000000000000000e+01,9.000000000000000000e+00,3.500000000000000000e+01,4.300000000000000000e+01,5.300000000000000000e+01,2.000000000000000000e+00,1.027125000000000057e+02
9.500000000000000000e+01,6.500000000000000000e+01,5.400000000000000000e+01,7.300000000000000000e+01,0.000000000000000000e+00,7.366249999999999432e+01,8.302551956176756676e+01
8.700000000000000000e+01,6.000000000000000000e+00,3.600000000000000000e+01,2.800000000000000000e+01,9.600000000000000000e+01,3.700000000000000000e+01,1.029000000000000057e+02
8.200000000000000000e+01,5.200000000000000000e+01,1.900000000000000000e+01,8.600000000000000000e+01,7.600000000000000000e+01,9.500000000000000000e+01,5.293755798339844887e+01
5.900000000000000000e+01,2.000000000000000000e+01,6.400000000000000000e+01,7.300000000000000000e+01,1.700000000000000000e+01,4.772500000000000853e+01,9.414660644531248579e+01
4.600000000000000000e+01,5.800000000000000000e+01,9.900000000000000000e+01,7.700000000000000000e+01,7.400000000000000000e+01,4.900000000000000000e+01,4.305000000000000426e+01
8.100000000000000000e+01,6.000000000000000000e+01,5.000000000000000000e+01,2.400000000000000000e+01,3.700000000000000000e+01,8.200000000000000000e+01,1.027125000000000057e+02
9.800000000000000000e+01,3.900000000000000000e+01,4.000000000000000000e+01,8.800000000000000000e+01,7.600000000000000000e+01,6.900000000000000000e+01,2.388945312500000284e+01
7.300000000000000000e+01,7.900000000000000000e+01,6.700000000000000000e+01,5.000000000000000000e+01,9.000000000000000000e+00,1.000000000000000000e+00,4.305000000000000426e+01
1.000000000000000000e+01,7.200000000000000000e+01,5.900000000000000000e+01,1.200000000000000000e+01,6.000000000000000000e+01,7.900000000000000000e+01,1.029000000000000057e+02
8.400000000000000000e+01,1.500000000000000000e+01,5.600000000000000000e+01,9.500000000000000000e+01,5.700000000000000000e+01,8.700000000000000000e+01,8.616562499999999147e+01
9.000000000000000000e+01,5.200000000000000000e+01,5.300000000000000000e+01,6.300000000000000000e+01,6.500000000000000000e+01,2.800000000000000000e+01,7.350000000000000000e+01
6.900000000000000000e+01,5.100000000000000000e+01,6.000000000000000000e+00,5.000000000000000000e+01,8.200000000000000000e+01,9.600000000000000000e+01,5.500000000000000000e+01
8.400000000000000000e+01,8.000000000000000000e+00,7.200000000000000000e+01,3.700000000000000000e+01,3.600000000000000000e+01,9.600000000000000000e+01,7.400000000000000000e+01
8.400000000000000000e+01,2.000000000000000000e+00,3.800000000000000000e+01,6.500000000000000000e+01,6.500000000000000000e+01,4.200000000000000000e+01,6.300000000000000000e+01
8.200000000000000000e+01,5.000000000000000000e+00,3.200000000000000000e+01,8.400000000000000000e+01,1.100000000000000000e+01,8.200000000000000000e+01,6.084375000000000000e+01
4.301798048251727735e+00,1.201413680529574535e+00,6.675938261859562317e+01,6.950815020847372239e+01,6.860692271423576472e+01,6.307075395756439207e+01,2.113920696433429214e+01
7.000000000000000000e+01,6.000000000000000000e+01,1.700000000000000000e+01,3.000000000000000000e+01,7.300000000000000000e+01,9.450000000000000000e+01,8.500000000000000000e+01
4.900000000000000000e+01,2.500000000000000000e+01,6.300000000000000000e+01,5.700000000000000000e+01,1.900000000000000000e+01,7.700000000000000000e+01,8.712500000000000000e+01
5.000000000000000000e+01,2.800000000000000000e+01,7.000000000000000000e+01,0.000000000000000000e+00,9.400000000000000000e+01,9.600000000000000000e+01,6.300000000000000000e+01
5.700000000000000000e+01,4.800000000000000000e+01,3.800000000000000000e+01,5.600000000000000000e+01,4.600000000000000000e+01,3.000000000000000000e+00,1.029000000000000057e+02
1.404906949385303072e+01,6.721097147199193955e+01,1.071108091245720004e+02,4.158167900443040566e+01,9.748479059128759161e+01,6.858116872100130479e+01,1.549602756492482122e-02
-4.770378090237007740e+01,1.883436036267178634e-02,1.476843593280507605e+01,5.516941417260199643e+01,4.584212071805752231e+01,1.775309463155956990e+01,1.549589611176115794e-02
9.400000000000000000e+01,8.900000000000000000e+01,8.400000000000000000e+01,4.300000000000000000e+01,9.900000000000000000e+01,8.200000000000000000e+01,9.029999999999999716e+01
2.809812064215974914e+01,2.378232757658627605e+01,7.486239506033160751e+01,7.560307399542568874e+01,6.156934270930121578e+00,7.904268329120762360e+01,1.549624619144232204e-02
5.936786465609800700e+01,8.907723981053095486e+01,9.620899701647908842e+01,8.233747877434510087e+01,9.875904596484460285e+01,3.097749813044896072e+01,1.549549359499920523e-02
6.709284553182314426e+01,1.008374788265216981e+00,7.488973050902072259e+01,6.494391700172748472e+01,1.816171633372746186e+01,7.307118727076539244e+01,9.225293717285160255e+01
2.315792126848507593e+01,9.708986803101716134e+01,3.081319926817738697e+00,1.172511543350632337e+02,1.172718925361849074e+01,8.936467015827780358e+01,1.549558719887053279e-02
9.900000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,7.500000000000000000e+01,9.300000000000000000e+01,9.900000000000000000e+01,5.400000000000000000e+01
4.672966613236683386e+00,2.118178815371193835e+01,1.040648840434869715e+00,9.782057766218665051e+01,5.531474177296890105e+01,3.713393397633501536e+01,3.216988330979859256e+01
6.678834430011443146e+01,2.284466942465564898e+01,2.548938610010559103e+00,1.643370685279656840e+01,1.134738102125655246e+02,8.502210083348174408e+01,1.549600542927935184e-02
7.809218659099488491e+01,2.080744622782082942e+01,2.963962749416870679e+01,1.034320150852606162e+02,9.759943189382153150e+01,6.019612303878313497e+01,1.549591917547529438e-02
8.335781233019443448e+01,3.570360304152406172e+01,2.898117021520920034e+01,8.311861092520325656e+01,6.741877603081496773e+01,5.758230504693122498e+01,1.549602756492482122e-02
1.372918849005143604e-01,1.322076683290386541e+02,4.631684068274603305e+01,2.064371772365772273e+01,2.292147575610923127e+02,1.352425371526256015e+01,6.167250945367685233e+01
7.408753140890792110e+01,3.433229501976983045e+01,2.279970731264227446e+00,8.938568765627728396e+01,4.417657853030435433e+01,7.715136259182050082e+01,1.549551306477830320e-02
7.243242973392716522e+01,5.596944009040592505e+01,1.147022374504757209e+02,9.552092108188064401e+01,9.726326589648468257e+01,7.182901622139002029e+01,1.549600542927935184e-02
4.812457944492175699e+01,5.750544597655291312e+01,5.237554037676477492e+01,8.420479885561873346e+01,7.010883734146391433e+00,1.055985782024272055e+02,1.549585212255581365e-02
-1.712054322147715801e-01,6.456077633828250839e+00,6.994608529476414560e+01,9.284844165506964941e+01,5.644080656235893656e+01,1.095949537330479302e+02,2.461922624345440624e+01
1.109100762776778595e+02,8.179657820314983496e+01,8.944515573112178686e+01,1.350890986029855156e+01,5.539167681395446152e+01,4.412189050845145744e+01,1.549504963005514727e-02
9.341334130147205883e+01,7.199288746735925315e+01,2.412188832876858413e+01,5.259134453605766168e+01,5.292273517345431344e+01,1.115518221375504311e+02,1.549583955240343112e-02
7.808906510177273219e+01,8.131612868405663619e+01,8.769405412115933984e+01,8.159876239028594114e+01,5.447089854712635315e+01,9.746204085315822851e+01,1.549590259698898839e-02
1.152467052220171411e+02,1.027339482540325548e+02,8.372259359961810787e+01,2.694440921229992014e+01,4.135881601390903661e+00,4.832894954699142431e+01,1.549587817321057895e-02
9.889113913023999203e+01,1.084565734876160121e+02,1.747157931878670212e+01,3.360675619268135250e+01,3.666606485711722030e+01,1.406001921564547388e+02,1.549567970426232733e-02
5.800000000000000000e+01,2.500000000000000052e-04,9.400000000000000000e+01,9.500000000000000000e+01,7.300000000000000000e+01,7.000000000000000000e+00,8.000000000000000000e+01
1.616591586614193776e+00,1.493086820848972707e+02,8.867518165072806369e+01,8.031236968905540152e+01,1.478716628081338058e+02,-1.021765602797231887e-01,5.131192941529416203e+02
