n,K1,K2,a1,a2,c1,c2
3.800000000000000000e+01,7.800000000000000000e+01,8.900000000000000000e+01,6.100000000000000000e+01,1.700000000000000000e+01,3.172958984374999858e+01,2.463515625000000142e+01
5.619621702683671671e+00,1.436618031791756778e+01,8.946363741604619690e+01,2.214706262030112072e+01,3.412245664443101134e+01,8.136745681501043492e+00,1.549535734626484099e-02
1.800000000000000000e+01,5.600000000000000000e+01,1.900000000000000000e+01,6.200000000000000000e+01,1.400000000000000000e+01,3.838750000000000284e+01,4.018750000000000000e+01
9.000000000000000000e+00,3.900000000000000000e+01,2.700000000000000000e+01,8.000000000000000000e+01,5.159765625000000000e+01,4.252499999999999858e+01,2.769609375000000284e+01
5.000000000000000000e+00,2.900000000000000000e+01,4.200000000000000000e+01,6.000000000000000000e+00,4.250859375000000284e+01,5.300388183593750568e+01,2.075634765625000000e+01
8.000000000000000000e+01,1.300000000000000000e+01,2.800000000000000000e+01,1.700000000000000000e+01,9.400000000000000000e+01,3.000000000000000000e+00,9.031347656250002842e+01
6.500000000000000000e+01,5.100000000000000000e+01,1.300000000000000000e+01,9.000000000000000000e+01,3.900000000000000000e+01,2.725602951049804545e+01,2.978984909057617259e+01
3.300000000000000000e+01,3.200000000000000000e+01,5.800000000000000000e+01,7.900000000000000000e+01,6.000000000000000000e+00,4.093750000000000000e+01,4.311562499999999432e+01
6.000000000000000000e+00,7.900000000000000000e+01,3.000000000000000000e+01,1.900000000000000000e+01,1.500000000000000000e+01,6.951250000000001705e+01,2.328750000000000142e+01
2.700000000000000000e+01,9.500000000000000000e+01,4.700000000000000000e+01,4.900000000000000000e+01,1.500000000000000000e+01,3.000000000000000000e+00,4.846817626953124858e+01
7.300000000000000000e+01,7.000000000000000000e+00,1.800000000000000000e+01,4.400000000000000000e+01,4.900000000000000000e+01,9.300000000000000000e+01,2.152499999999999858e+01
2.900000000000000000e+01,6.200000000000000000e+01,6.600000000000000000e+01,7.000000000000000000e+01,1.800000000000000000e+01,1.639999999999999858e+01,5.301709289550780113e+01
1.900000000000000000e+01,4.900000000000000000e+01,7.600000000000000000e+01,2.100000000000000000e+01,9.400000000000000000e+01,6.929999999999999716e+01,5.300000000000000000e+01
5.800000000000000000e+01,8.000000000000000000e+01,7.100000000000000000e+01,5.800000000000000000e+01,9.500000000000000000e+01,6.700327148437500568e+01,2.563110351562500000e+01
6.200000000000000000e+01,4.900000000000000000e+01,2.000000000000000000e+01,7.700000000000000000e+01,5.700000000000000000e+01,1.100000000000000000e+01,3.700000000000000000e+01
2.100000000000000000e+01,8.600000000000000000e+01,5.000000000000000000e+00,6.100000000000000000e+01,2.000000000000000000e+00,6.018530273437500000e+01,3.781072998046874289e+01
2.600000000000000000e+01,5.000000000000000000e+00,4.500000000000000000e+01,2.700000000000000000e+01,1.800000000000000000e+01,1.400000000000000000e+01,5.985000000000000142e+01
6.900000000000000000e+01,3.200000000000000000e+01,9.700000000000000000e+01,8.200000000000000000e+01,2.000000000000000000e+00,5.455429687500000568e+01,4.600000000000000000e+01
5.800000000000000000e+01,4.800000000000000000e+01,9.100000000000000000e+01,8.200000000000000000e+01,2.000000000000000000e+00,1.000000000000000000e+00,4.711586380004882812e+01
7.100000000000000000e+01,1.900000000000000000e+01,3.200000000000000000e+01,6.400000000000000000e+01,3.100000000000000000e+01,4.100000000000000000e+01,2.356601562500000213e+01
