n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
9.000000000000000000e+00,9.200000000000000000e+01,2.800000000000000000e+01,8.000000000000000000e+01,9.000000000000000000e+01,9.800000000000000000e+01,8.820000000000000284e+01,8.900000000000000000e+01,2.500000000000000000e+01,7.000000000000000000e+00,1.500000000000000000e+01
1.600000000000000000e+01,2.700000000000000000e+01,9.000000000000000000e+00,7.200000000000000000e+01,2.300000000000000000e+01,5.700000000000000000e+01,2.400000000000000000e+01,3.000000000000000000e+00,2.400000000000000000e+01,1.700000000000000000e+01,3.400000000000000000e+01
7.900000000000000000e+01,8.900000000000000000e+01,9.000000000000000000e+01,4.100000000000000000e+01,6.600000000000000000e+01,6.000000000000000000e+01,7.000000000000000000e+01,2.800000000000000000e+01,9.200000000000000000e+01,4.000000000000000000e+00,1.800000000000000000e+01
5.000000000000000000e+01,9.100000000000000000e+01,3.300000000000000000e+01,3.200000000000000000e+01,3.500000000000000000e+01,5.800000000000000000e+01,4.900000000000000000e+01,6.000000000000000000e+01,0.000000000000000000e+00,9.000000000000000000e+00,2.312090301513672230e+01
1.600000000000000000e+01,3.600000000000000000e+01,8.100000000000000000e+01,2.000000000000000000e+01,9.400000000000000000e+01,7.000000000000000000e+01,2.000000000000000000e+00,1.600000000000000000e+01,2.300000000000000000e+01,2.625000000000000000e+01,3.400000000000000000e+01
3.900000000000000000e+01,5.200000000000000000e+01,5.400000000000000000e+01,1.400000000000000000e+01,5.100000000000000000e+01,6.700000000000000000e+01,9.000000000000000000e+00,5.600000000000000000e+01,8.200000000000000000e+01,1.971249999999999858e+01,3.320624999999999716e+01
2.500000000000000000e+01,2.000000000000000000e+00,1.700000000000000000e+01,4.300000000000000000e+01,2.400000000000000000e+01,2.113125000000000142e+01,8.500000000000000000e+01,2.100000000000000000e+01,8.500000000000000000e+01,8.000000000000000000e+00,5.323125000000000284e+01
2.400000000000000000e+01,3.200000000000000000e+01,6.500000000000000000e+01,2.100000000000000000e+01,1.700000000000000000e+01,9.300000000000000000e+01,0.000000000000000000e+00,4.600000000000000000e+01,4.700000000000000000e+01,3.255000000000000426e+01,4.400000000000000000e+01
4.800000000000000000e+01,3.500000000000000000e+01,5.900000000000000000e+01,7.300000000000000000e+01,5.500000000000000000e+01,7.400000000000000000e+01,1.300000000000000000e+01,5.000000000000000000e+01,9.300000000000000000e+01,6.000000000000000000e+00,2.310000000000000142e+01
2.000000000000000000e+01,1.500000000000000000e+01,6.200000000000000000e+01,1.500000000000000000e+01,8.100000000000000000e+01,5.000000000000000000e+00,8.700000000000000000e+01,5.200000000000000000e+01,6.500000000000000000e+01,4.200000000000000000e+01,4.500000000000000000e+01
