n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
5.800000000000000000e+01,8.200000000000000000e+01,4.000000000000000000e+00,6.300000000000000000e+01,7.700000000000000000e+01,5.500000000000000000e+01,2.200000000000000000e+01,7.200000000000000000e+01,6.600000000000000000e+01,2.000000000000000000e+00,1.800000000000000000e+01
1.400000000000000000e+01,4.200000000000000000e+01,1.900000000000000000e+01,1.800000000000000000e+01,3.300000000000000000e+01,1.400000000000000000e+01,2.800000000000000000e+01,9.000000000000000000e+01,1.100000000000000000e+01,4.305000000000000426e+01,1.900000000000000000e+01
4.700000000000000000e+01,4.700000000000000000e+01,1.400000000000000000e+01,2.800000000000000000e+01,4.300000000000000000e+01,1.200000000000000000e+01,2.400000000000000000e+01,3.200000000000000000e+01,8.600000000000000000e+01,6.000000000000000000e+00,1.518750000000000000e+01
1.100000000000000000e+01,9.000000000000000000e+01,8.100000000000000000e+01,8.500000000000000000e+01,1.000000000000000000e+01,7.200000000000000000e+01,6.000000000000000000e+00,5.300000000000000000e+01,8.048437500000000000e+01,3.900000000000000000e+01,3.862597656250000711e+01
6.400000000000000000e+01,5.400000000000000000e+01,4.000000000000000000e+00,1.700000000000000000e+01,6.600000000000000000e+01,4.200000000000000000e+01,2.100000000000000000e+01,4.900000000000000000e+01,9.800000000000000000e+01,2.205000000000000071e+01,1.900000000000000000e+01
3.500000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+01,3.500000000000000000e+01,5.200000000000000000e+01,6.600000000000000000e+01,5.800000000000000000e+01,6.200000000000000000e+01,2.700000000000000000e+01,3.782382812499999147e+01,2.500000000000000000e+01
9.700000000000000000e+01,1.300000000000000000e+01,8.800000000000000000e+01,3.400000000000000000e+01,5.300000000000000000e+01,5.500000000000000000e+01,1.900000000000000000e+01,8.600000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01
4.700000000000000000e+01,6.700000000000000000e+01,2.600000000000000000e+01,5.700000000000000000e+01,2.400000000000000000e+01,9.300000000000000000e+01,9.900000000000000000e+01,8.200000000000000000e+01,3.200000000000000000e+01,3.065625000000000000e+01,3.698437500000000000e+01
4.800000000000000000e+01,3.300000000000000000e+01,7.000000000000000000e+01,3.900000000000000000e+01,5.900000000000000000e+01,1.000000000000000000e+00,1.700000000000000000e+01,3.100000000000000000e+01,8.200000000000000000e+01,2.800000000000000000e+01,2.415000000000000213e+01
7.700000000000000000e+01,3.800000000000000000e+01,8.300000000000000000e+01,3.800000000000000000e+01,8.300000000000000000e+01,8.300000000000000000e+01,5.500000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00,2.625000000000000000e+01,2.600000000000000000e+01
