n,K1,K2,a1,a2,c1,c2
2.000000000000000000e+01,7.000000000000000000e+01,6.000000000000000000e+00,3.900000000000000000e+01,9.404589843750000000e+01,2.000000000000000000e+00,2.833681640625000142e+01
7.000000000000000000e+00,4.500000000000000000e+01,2.900000000000000000e+01,8.000000000000000000e+00,5.395000000000000284e+01,2.328750000000000142e+01,1.400000000000000000e+01
1.700000000000000000e+01,4.600000000000000000e+01,2.600000000000000000e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.800000000000000000e+01,3.570000000000000284e+01
1.700000000000000000e+01,8.100000000000000000e+01,8.300000000000000000e+01,1.000000000000000000e+01,8.000000000000000000e+00,5.163750000000000284e+01,1.950468750000000284e+01
2.580123019909841275e+01,7.530455175328097539e+01,4.042465948472464987e+00,6.984725819927987800e+01,3.906387123157622909e+01,3.586704920749006931e+00,1.766304559151723845e-03
4.300000000000000000e+01,8.500000000000000000e+01,7.900000000000000000e+01,1.300000000000000000e+01,4.700000000000000000e+01,1.900000000000000000e+01,2.310000000000000142e+01
5.100000000000000000e+01,3.900000000000000000e+01,9.300000000000000000e+01,2.300000000000000000e+01,1.100000000000000000e+01,2.043750000000000000e+01,3.698437500000000000e+01
6.712091867076065199e+00,3.442374369366805809e+01,5.470157894310189306e+01,5.033565431830378856e+01,2.183433831205339004e+01,1.876233284661146428e+01,1.766265831680344104e-03
1.300000000000000000e+01,4.000000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,3.200000000000000000e+01,7.200000000000000000e+01,2.623046875000000000e+01
4.600000000000000000e+01,4.300000000000000000e+01,3.000000000000000000e+01,1.800000000000000000e+01,4.600000000000000000e+01,2.255000000000000071e+01,5.301618041992186647e+01
8.800000000000000000e+01,6.200000000000000000e+01,1.700000000000000000e+01,4.200000000000000000e+01,7.500000000000000000e+01,4.000000000000000000e+00,2.801315917968750213e+01
6.400000000000000000e+01,6.100000000000000000e+01,1.600000000000000000e+01,2.200000000000000000e+01,4.500000000000000000e+01,1.300000000000000000e+01,3.177500000000000213e+01
1.900000000000000000e+01,3.500000000000000000e+01,6.000000000000000000e+00,7.500000000000000000e+01,9.700000000000000000e+01,2.600000000000000000e+01,4.305000000000000426e+01
2.300000000000000000e+01,8.100000000000000000e+01,1.400000000000000000e+01,6.100000000000000000e+01,9.500000000000000000e+01,6.140625000000000000e+01,1.642499999999999716e+01
3.500000000000000000e+01,4.600000000000000000e+01,1.800000000000000000e+01,9.700000000000000000e+01,1.300000000000000000e+01,4.600000000000000000e+01,5.871250000000000568e+01
1.900000000000000000e+01,5.800000000000000000e+01,5.600000000000000000e+01,6.500000000000000000e+01,7.100000000000000000e+01,3.700000000000000000e+01,7.140000000000000568e+01
7.900000000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,4.800000000000000000e+01,6.400000000000000000e+01,2.700175094604492188e+01,4.925313720703125853e+01
4.300000000000000000e+01,5.100000000000000000e+01,9.000000000000000000e+00,1.700000000000000000e+01,4.700000000000000000e+01,7.142988281249999716e+01,7.725195312500001421e+01
8.700000000000000000e+01,1.700000000000000000e+01,5.000000000000000000e+01,9.000000000000000000e+00,2.900000000000000000e+01,3.150000000000000000e+01,6.700000000000000000e+01
2.300000000000000000e+01,7.600000000000000000e+01,2.500000000000000000e+01,2.600000000000000000e+01,3.000000000000000000e+01,5.800000000000000000e+01,6.355000000000000426e+01
8.800000000000000000e+01,2.600000000000000000e+01,6.800000000000000000e+01,5.700000000000000000e+01,9.500000000000000000e+01,5.125000000000000000e+01,1.400000000000000000e+01
3.100000000000000000e+01,1.700000000000000000e+01,4.000000000000000000e+00,8.000000000000000000e+01,8.900000000000000000e+01,7.010937500000000000e+01,6.359062500000000284e+01
3.500000000000000000e+01,2.000000000000000000e+00,4.900000000000000000e+01,9.701805725097656818e+01,6.800000000000000000e+01,9.618750000000000000e+01,2.593284606933593750e+01
9.000000000000000000e+01,6.300000000000000000e+01,3.800000000000000000e+01,8.500000000000000000e+01,8.600000000000000000e+01,1.900000000000000000e+01,3.700000000000000000e+01
9.200000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+00,6.300000000000000000e+01,7.800000000000000000e+01,6.393750000000000000e+01,2.010546875000000000e+01
3.700000000000000000e+01,5.000000000000000000e+01,7.200000000000000000e+01,2.200000000000000000e+01,6.100000000000000000e+01,8.600000000000000000e+01,2.900000000000000000e+01
5.000000000000000000e+00,9.800000000000000000e+01,4.000000000000000000e+01,3.400000000000000000e+01,4.900000000000000000e+01,7.800000000000000000e+01,6.510000000000000853e+01
1.200000000000000000e+01,6.600000000000000000e+01,2.900000000000000000e+01,8.100000000000000000e+01,7.400000000000000000e+01,5.637500000000000000e+01,4.817499999999999716e+01
6.700000000000000000e+01,7.400000000000000000e+01,3.000000000000000000e+00,6.300000000000000000e+01,3.500000000000000000e+01,2.000000000000000000e+00,6.720000000000000284e+01
