n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
1.700000000000000000e+01,2.800000000000000000e+01,7.000000000000000000e+00,8.700000000000000000e+01,1.100000000000000000e+01,7.700000000000000000e+01,1.700000000000000000e+01,7.008515625000001137e+01,9.400000000000000000e+01,2.200000000000000000e+01,1.936738281250000426e+01
5.200000000000000000e+01,9.600000000000000000e+01,2.100000000000000000e+01,3.500000000000000000e+01,1.200000000000000000e+01,5.700000000000000000e+01,2.000000000000000000e+00,6.000000000000000000e+01,8.500000000000000000e+01,2.300000000000000000e+01,3.587500000000000000e+01
1.400000000000000000e+01,9.700000000000000000e+01,2.500000000000000000e+01,1.800000000000000000e+01,4.900000000000000000e+01,3.400000000000000000e+01,8.900000000000000000e+01,1.900000000000000000e+01,7.200000000000000000e+01,1.610000000000000142e+01,5.636250000000000426e+01
7.500000000000000000e+01,1.000000000000000000e+01,7.900000000000000000e+01,1.100000000000000000e+01,5.500000000000000000e+01,1.600000000000000000e+01,2.500000000000000000e+01,4.200000000000000000e+01,8.900000000000000000e+01,1.300000000000000000e+01,2.310000000000000142e+01
1.900000000000000000e+01,4.300000000000000000e+01,9.400000000000000000e+01,2.100000000000000000e+01,7.600000000000000000e+01,2.900000000000000000e+01,7.500000000000000000e+01,1.400000000000000000e+01,5.200000000000000000e+01,3.200312499999999716e+01,3.140332031250000000e+01
2.600000000000000000e+01,6.000000000000000000e+01,7.800000000000000000e+01,3.700000000000000000e+01,7.800000000000000000e+01,8.100000000000000000e+01,1.800000000000000000e+01,2.500000000000000000e+01,7.000000000000000000e+01,3.320624999999999716e+01,3.200000000000000000e+01
4.300000000000000000e+01,8.400000000000000000e+01,5.900000000000000000e+01,8.700000000000000000e+01,5.500000000000000000e+01,2.600000000000000000e+01,7.400000000000000000e+01,6.200000000000000000e+01,4.000000000000000000e+01,7.000000000000000000e+00,2.179570312500000284e+01
4.200000000000000000e+01,4.900000000000000000e+01,7.600000000000000000e+01,1.600000000000000000e+01,5.600000000000000000e+01,2.200000000000000000e+01,6.700000000000000000e+01,3.500000000000000000e+01,1.300000000000000000e+01,6.100000000000000000e+01,4.205703125000000853e+01
6.166143914882667332e+00,3.822031837962789780e+01,8.429228987446660426e+01,6.386598083948464932e+01,5.978051712341253676e+01,5.651999289697016593e+00,8.018412523409960357e+00,9.969894305256894995e+01,6.235329612801578492e+01,1.119134126884312153e+01,1.549605183692296870e-02
3.000000000000000000e+01,5.700000000000000000e+01,7.100000000000000000e+01,6.200000000000000000e+01,6.900000000000000000e+01,9.700000000000000000e+01,9.800000000000000000e+01,1.900000000000000000e+01,2.000000000000000000e+00,9.300000000000000000e+01,4.706696472167968892e+01
1.000000000000000000e+01,8.500000000000000000e+01,9.700000000000000000e+01,8.800000000000000000e+01,2.200000000000000000e+01,7.400000000000000000e+01,5.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01,4.175000000000000000e+01,1.911874999999999858e+01
3.700000000000000000e+01,3.600000000000000000e+01,4.000000000000000000e+00,2.600000000000000000e+01,1.700000000000000000e+01,2.100000000000000000e+01,2.800000000000000000e+01,9.500000000000000000e+01,5.600000000000000000e+01,5.927656249999999716e+01,6.723750000000001137e+01
3.500000000000000000e+01,1.200000000000000000e+01,8.000000000000000000e+00,1.700000000000000000e+01,4.100000000000000000e+01,4.700000000000000000e+01,6.800000000000000000e+01,7.600000000000000000e+01,2.900000000000000000e+01,4.000000000000000000e+01,1.700000000000000000e+01
