n,K1,K2,a1,a2,c1,c2
1.100000000000000000e+01,8.200000000000000000e+01,5.400000000000000000e+01,5.700000000000000000e+01,3.300000000000000000e+01,4.106406249999999858e+01,4.000000000000000000e+01
2.400000000000000000e+01,7.300000000000000000e+01,7.700000000000000000e+01,8.400000000000000000e+01,6.500000000000000000e+01,3.690000000000000568e+01,3.305156250000000284e+01
8.000000000000000000e+00,7.100000000000000000e+01,6.700000000000000000e+01,1.200000000000000000e+01,6.000000000000000000e+00,2.300000000000000000e+01,2.625000000000000000e+01
6.000000000000000000e+00,7.100000000000000000e+01,7.900000000000000000e+01,7.200000000000000000e+01,2.200000000000000000e+01,2.414999999999999858e+01,5.323125000000000284e+01
5.000000000000000000e+00,2.800000000000000000e+01,6.000000000000000000e+01,1.900000000000000000e+01,9.200000000000000000e+01,4.305000000000000426e+01,2.800000000000000000e+01
6.000000000000000000e+00,8.800000000000000000e+01,2.600000000000000000e+01,4.900000000000000000e+01,9.200000000000000000e+01,6.000000000000000000e+00,3.255000000000000426e+01
2.500000000000000000e+01,3.100000000000000000e+01,6.500000000000000000e+01,3.300000000000000000e+01,4.500000000000000000e+01,4.400000000000000000e+01,4.142066040039063068e+01
1.000000000000000000e+01,2.400000000000000000e+01,1.900000000000000000e+01,2.000000000000000000e+00,4.927656249999999716e+01,2.000000000000000000e+00,5.308281250000000284e+01
1.400000000000000000e+01,4.000000000000000000e+01,6.800000000000000000e+01,6.400000000000000000e+01,9.000000000000000000e+01,2.300000000000000000e+01,5.968857421875000568e+01
1.400000000000000000e+01,5.600000000000000000e+01,4.000000000000000000e+00,4.500000000000000000e+01,7.300000000000000000e+01,2.616250000000000142e+01,4.383750000000000568e+01
7.000000000000000000e+00,9.800000000000000000e+01,9.000000000000000000e+01,2.500000000000000000e+01,9.240000000000000568e+01,8.500000000000000000e+01,3.500000000000000000e+01
9.000000000000000000e+00,8.800000000000000000e+01,6.000000000000000000e+00,4.900000000000000000e+01,1.127500000000000036e+01,1.100000000000000000e+01,7.175000000000000000e+01
2.000000000000000000e+01,8.900000000000000000e+01,4.600000000000000000e+01,3.600000000000000000e+01,3.000000000000000000e+01,3.948749999999999716e+01,3.239999999999999858e+01
1.200000000000000000e+01,7.000000000000000000e+00,5.600000000000000000e+01,6.277641906738281818e+01,3.200000000000000000e+01,7.204921875000000853e+01,9.849538421630859375e+01
4.000000000000000000e+01,1.000000000000000000e+01,4.000000000000000000e+00,8.600000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,4.151250000000000284e+01
2.300000000000000000e+01,6.100000000000000000e+01,4.500000000000000000e+01,8.900000000000000000e+01,6.900000000000000000e+01,3.000000000000000000e+00,2.625000000000000000e+01
9.200000000000000000e+01,1.600000000000000000e+01,8.800000000000000000e+01,8.500000000000000000e+01,4.300000000000000000e+01,5.000000000000000000e+00,3.701250000000000284e+01
1.200000000000000000e+01,7.000000000000000000e+01,6.500000000000000000e+01,8.200000000000000000e+01,8.300000000000000000e+01,7.940625000000001421e+01,3.056250000000000000e+01
2.700000000000000000e+01,6.300000000000000000e+01,3.100000000000000000e+01,6.100000000000000000e+01,3.100000000000000000e+01,4.000000000000000000e+00,3.360000000000000142e+01
3.800000000000000000e+01,4.000000000000000000e+00,3.800000000000000000e+01,6.200000000000000000e+01,8.300000000000000000e+01,9.100000000000000000e+01,7.770000000000000284e+01
2.600000000000000000e+01,9.700000000000000000e+01,6.000000000000000000e+01,7.200000000000000000e+01,7.900000000000000000e+01,4.100000000000000000e+01,5.969322738647461080e+01
3.600000000000000000e+01,5.000000000000000000e+00,8.300000000000000000e+01,8.300000000000000000e+01,9.900000000000000000e+01,2.900000000000000000e+01,1.800000000000000000e+01
7.500000000000000000e+01,4.000000000000000000e+00,6.800000000000000000e+01,6.700000000000000000e+01,3.100000000000000000e+01,6.700000000000000000e+01,6.713985595703124432e+01
8.400000000000000000e+01,9.900000000000000000e+01,6.900000000000000000e+01,3.300000000000000000e+01,8.000000000000000000e+01,2.119687499999999858e+01,4.370625000000000426e+01
4.700000000000000000e+01,2.600000000000000000e+01,1.800000000000000000e+01,9.000000000000000000e+01,6.400000000000000000e+01,2.515625000000000000e+01,4.383750000000000568e+01
2.600000000000000000e+01,2.100000000000000000e+01,8.900000000000000000e+01,3.400000000000000000e+01,9.000000000000000000e+00,2.500000000000000000e+01,8.800000000000000000e+01
2.600000000000000000e+01,9.400000000000000000e+01,7.600000000000000000e+01,7.400000000000000000e+01,8.700000000000000000e+01,3.500000000000000000e+01,3.255000000000000426e+01
4.600000000000000000e+01,5.400000000000000000e+01,5.900000000000000000e+01,6.200000000000000000e+01,4.800000000000000000e+01,4.300000000000000000e+01,3.407968750000000568e+01
9.700000000000000000e+01,1.400000000000000000e+01,7.000000000000000000e+01,7.300000000000000000e+01,9.900000000000000000e+01,4.700000000000000000e+01,2.472161865234375000e+01
9.764337216407039932e+01,1.930005913267908113e+01,7.166666831721347819e+01,5.868656434261494326e+01,6.377886041923059679e+01,7.667189893668675538e+00,3.598773319037067153e-02
3.100000000000000000e+01,4.700000000000000000e+01,6.000000000000000000e+01,9.400000000000000000e+01,7.400000000000000000e+01,5.329999999999999716e+01,5.300000000000000000e+01
9.800000000000000000e+01,1.700000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,4.700000000000000000e+01,1.141250000000000142e+01,3.320624999999999716e+01
4.900000000000000000e+01,5.200000000000000000e+01,7.200000000000000000e+01,5.300000000000000000e+01,2.900000000000000000e+01,4.800000000000000000e+01,1.603750000000000142e+01
4.400000000000000000e+01,3.900000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,6.800000000000000000e+01,9.400000000000000000e+01,9.019121398925781818e+01
3.500000000000000000e+01,7.700000000000000000e+01,7.100000000000000000e+01,8.800000000000000000e+01,1.400000000000000000e+01,6.000000000000000000e+01,4.900000000000000000e+01
4.700000000000000000e+01,7.500000000000000000e+01,1.000000000000000000e+01,4.600000000000000000e+01,1.600000000000000000e+01,5.565000000000000568e+01,7.700000000000000000e+01
7.200000000000000000e+01,1.600000000000000000e+01,1.100000000000000000e+01,2.000000000000000000e+00,4.900000000000000000e+01,9.100000000000000000e+01,4.200000000000000000e+01
3.300000000000000000e+01,5.800000000000000000e+01,6.700000000000000000e+01,7.600000000000000000e+01,2.700000000000000000e+01,4.725000000000000000e+01,4.400000000000000000e+01
4.500000000000000000e+01,5.900000000000000000e+01,3.100000000000000000e+01,6.100000000000000000e+01,7.000000000000000000e+00,7.100000000000000000e+01,6.331132812499999574e+01
7.900000000000000000e+01,5.700000000000000000e+01,8.800000000000000000e+01,1.600000000000000000e+01,6.700000000000000000e+01,7.141601562500000000e+01,8.052746582031250000e+01
1.500000000000000000e+01,7.900000000000000000e+01,4.000000000000000000e+01,2.000000000000000000e+01,5.700000000000000000e+01,6.400000000000000000e+01,7.979999999999999716e+01
6.600000000000000000e+01,6.800000000000000000e+01,2.300000000000000000e+01,7.000000000000000000e+01,7.300000000000000000e+01,5.000000000000000000e+01,5.200000000000000000e+01
5.700000000000000000e+01,1.800000000000000000e+01,8.800000000000000000e+01,7.900000000000000000e+01,9.900000000000000000e+01,4.514999999999999858e+01,9.300000000000000000e+01
4.700000000000000000e+01,2.900000000000000000e+01,1.900000000000000000e+01,8.600000000000000000e+01,7.600000000000000000e+01,8.820000000000000284e+01,2.000000000000000000e+01
2.500000000000000000e+01,4.400000000000000000e+01,3.900000000000000000e+01,5.400000000000000000e+01,9.000000000000000000e+01,8.920656280517577841e+01,7.291543579101562500e+01
2.400000000000000000e+01,4.800000000000000000e+01,2.500000000000000000e+01,2.500000000000000000e+01,8.900000000000000000e+01,6.300000000000000000e+01,6.986249999999999716e+01
1.600000000000000000e+01,2.800000000000000000e+01,9.600000000000000000e+01,9.300000000000000000e+01,8.500000000000000000e+01,8.917500000000001137e+01,4.100000000000000000e+01
4.300000000000000000e+01,6.900000000000000000e+01,6.300000000000000000e+01,8.600000000000000000e+01,9.000000000000000000e+00,9.600000000000000000e+01,5.500000000000000000e+01
4.000000000000000000e+01,4.600000000000000000e+01,3.300000000000000000e+01,3.300000000000000000e+01,2.700000000000000000e+01,7.200000000000000000e+01,8.302500000000000568e+01
