n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
1.060576754382571636e+02,2.806444388800741052e+01,4.018033467363549960e+01,1.126011590950108712e+02,2.751863834017048305e+01,8.799744542637851907e+01,6.505526861133947136e+01,8.477998932878813321e+01,6.038238186945952179e+01,1.017394661333259842e+00,1.549604802065171656e-02
1.400000000000000000e+01,1.900000000000000000e+01,5.300000000000000000e+01,3.800000000000000000e+01,4.700000000000000000e+01,6.000000000000000000e+01,8.100000000000000000e+01,4.700000000000000000e+01,5.500000000000000000e+01,2.328750000000000142e+01,1.639999999999999858e+01
7.400000000000000000e+01,4.900000000000000000e+01,3.000000000000000000e+00,3.700000000000000000e+01,9.300000000000000000e+01,8.700000000000000000e+01,7.800000000000000000e+01,7.200000000000000000e+01,2.400000000000000000e+01,2.500000000000000000e+01,3.700000000000000000e+01
2.800000000000000000e+01,7.700000000000000000e+01,6.800000000000000000e+01,6.900000000000000000e+01,8.700000000000000000e+01,3.000000000000000000e+00,5.200000000000000000e+01,5.000000000000000000e+01,9.600000000000000000e+01,3.200000000000000000e+01,3.587500000000000000e+01
3.200000000000000000e+01,3.400000000000000000e+01,4.900000000000000000e+01,3.000000000000000000e+00,6.900000000000000000e+01,6.500000000000000000e+01,2.100000000000000000e+01,1.001562500000000000e+01,4.300000000000000000e+01,1.300000000000000000e+01,4.403437499999999716e+01
4.200000000000000000e+01,4.700000000000000000e+01,9.900000000000000000e+01,6.700000000000000000e+01,3.000000000000000000e+00,7.500000000000000000e+01,9.600000000000000000e+01,1.400000000000000000e+01,7.100000000000000000e+01,2.413989257812500000e+01,5.902592773437500284e+01
2.600000000000000000e+01,4.400000000000000000e+01,9.300000000000000000e+01,7.600000000000000000e+01,6.000000000000000000e+00,8.000000000000000000e+01,6.500000000000000000e+01,2.400000000000000000e+01,8.900000000000000000e+01,5.346249999999999858e+01,1.600000000000000000e+01
2.300000000000000000e+01,5.400000000000000000e+01,2.600000000000000000e+01,4.400000000000000000e+01,3.900000000000000000e+01,9.500000000000000000e+01,2.300000000000000000e+01,1.800000000000000000e+01,1.800000000000000000e+01,3.900000000000000000e+01,3.320624999999999716e+01
3.200000000000000000e+01,6.500000000000000000e+01,6.000000000000000000e+00,3.800000000000000000e+01,2.000000000000000000e+00,7.600000000000000000e+01,1.000000000000000000e+01,7.100000000000000000e+01,2.715820312500000000e+01,4.300000000000000000e+01,3.445664062499999147e+01
2.700000000000000000e+01,3.500000000000000000e+01,7.900000000000000000e+01,1.500000000000000000e+01,2.400000000000000000e+01,4.500000000000000000e+01,0.000000000000000000e+00,3.700000000000000000e+01,7.400000000000000000e+01,2.403750000000000142e+01,5.871250000000000568e+01
5.000000000000000000e+01,6.700000000000000000e+01,7.900000000000000000e+01,7.300000000000000000e+01,5.300000000000000000e+01,1.500000000000000000e+01,7.900000000000000000e+01,1.200000000000000000e+01,9.200000000000000000e+01,6.709999999999999432e+01,6.900000000000000000e+01
1.700000000000000000e+01,1.200000000000000000e+01,6.800000000000000000e+01,5.700000000000000000e+01,5.900000000000000000e+01,8.400000000000000000e+01,9.700000000000000000e+01,7.200000000000000000e+01,7.500000000000000000e+01,2.625000000000000000e+01,6.500000000000000000e+01
7.000000000000000000e+01,4.100000000000000000e+01,1.300000000000000000e+01,2.200000000000000000e+01,9.000000000000000000e+00,5.500000000000000000e+01,5.700000000000000000e+01,6.900000000000000000e+01,9.300000000000000000e+01,3.454687500000000000e+01,3.900000000000000000e+01
2.800000000000000000e+01,5.800000000000000000e+01,2.000000000000000000e+00,5.200000000000000000e+01,2.500000000000000000e+01,1.000000000000000000e+00,9.000000000000000000e+00,4.600000000000000000e+01,1.700000000000000000e+01,3.966249999999999432e+01,7.345624999999999716e+01
9.700000000000000000e+01,1.500000000000000000e+01,3.400000000000000000e+01,7.700000000000000000e+01,3.200000000000000000e+01,4.000000000000000000e+00,9.800000000000000000e+01,3.400000000000000000e+01,9.500000000000000000e+01,2.000000000000000000e+01,3.700000000000000000e+01
