n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
4.400000000000000000e+01,6.600000000000000000e+01,1.000000000000000000e+01,3.900000000000000000e+01,9.100000000000000000e+01,1.900000000000000000e+01,2.000000000000000000e+00,6.400000000000000000e+01,5.400000000000000000e+01,5.000000000000000000e+00,2.310000000000000142e+01
5.000000000000000000e+00,8.000000000000000000e+01,8.500000000000000000e+01,9.400000000000000000e+01,8.500000000000000000e+01,5.900000000000000000e+01,9.029999999999999716e+01,2.400000000000000000e+01,2.500000000000000000e+01,2.100000000000000000e+01,5.400000000000000000e+01
1.800000000000000000e+01,8.600000000000000000e+01,7.200000000000000000e+01,1.500000000000000000e+01,8.500000000000000000e+01,5.000000000000000000e+00,4.400000000000000000e+01,9.100000000000000000e+01,1.000000000000000000e+00,4.700000000000000000e+01,2.472161865234375000e+01
3.100000000000000000e+01,1.300000000000000000e+01,9.700000000000000000e+01,1.700000000000000000e+01,8.000000000000000000e+01,2.400000000000000000e+01,9.700000000000000000e+01,8.700000000000000000e+01,5.400000000000000000e+01,2.800000000000000000e+01,4.253750000000000853e+01
2.700000000000000000e+01,5.900000000000000000e+01,7.600000000000000000e+01,6.000000000000000000e+01,3.400000000000000000e+01,7.100000000000000000e+01,7.100000000000000000e+01,9.800000000000000000e+01,3.000000000000000000e+01,7.100000000000000000e+01,8.290634765625000568e+01
1.800000000000000000e+01,4.400000000000000000e+01,3.600000000000000000e+01,5.800000000000000000e+01,7.000000000000000000e+01,3.100000000000000000e+01,9.400000000000000000e+01,1.200000000000000000e+01,5.800000000000000000e+01,2.205000000000000071e+01,7.300000000000000000e+01
4.300000000000000000e+01,8.000000000000000000e+01,7.400000000000000000e+01,7.400000000000000000e+01,1.400000000000000000e+01,4.100000000000000000e+01,1.600000000000000000e+01,6.000000000000000000e+01,2.400000000000000000e+01,4.005859375000000000e+01,3.300000000000000000e+01
1.500000000000000000e+01,3.300000000000000000e+01,7.800000000000000000e+01,5.600000000000000000e+01,5.700000000000000000e+01,9.700000000000000000e+01,6.300000000000000000e+01,5.300000000000000000e+01,1.100000000000000000e+01,8.500000000000000000e+01,7.995000000000000284e+01
1.100000000000000000e+01,3.200000000000000000e+01,8.500000000000000000e+01,2.300000000000000000e+01,1.800000000000000000e+01,2.400000000000000000e+01,5.400000000000000000e+01,2.300000000000000000e+01,9.975000000000000000e+01,9.100000000000000000e+01,5.700000000000000000e+01
5.300000000000000000e+01,7.000000000000000000e+01,6.400000000000000000e+01,1.500000000000000000e+01,2.000000000000000000e+00,6.800000000000000000e+01,1.500000000000000000e+01,7.200000000000000000e+01,8.000000000000000000e+00,4.600000000000000000e+01,2.767500000000000071e+01
