,t,Xi,Xa
0,7.0,0.0010756572885758,1.602645407545166
1,7.163265306122449,0.009474715786365695,1.6163544321446508
2,7.326530612244898,0.019365204939560877,1.6277112336196173
3,7.489795918367347,0.030305259909791823,1.637090010622775
4,7.653061224489796,0.04204556861656163,1.6447254752096239
5,7.816326530612245,0.05439774921517897,1.6508083250156336
6,7.979591836734694,0.0672123273169378,1.6555008935904238
7,8.142857142857142,0.08036988224476803,1.6589417256152565
8,8.306122448979592,0.09376645439335615,1.6612566636944341
9,8.46938775510204,0.10730935023064575,1.662562103250947
10,8.63265306122449,0.1209171422978378,1.6629649925264736
11,8.795918367346939,0.13451966920939057,1.6625628325813808
12,8.959183673469388,0.1480580356530197,1.6614436772947232
13,9.122448979591837,0.16148192802511147,1.6596931685633975
14,9.285714285714285,0.1747293858830633,1.6574451045574454
15,9.448979591836734,0.18777021620862294,1.654757525046307
16,9.612244897959183,0.20058411288427655,1.6516661384250302
17,9.775510204081632,0.21315248748145718,1.6482056983567712
18,9.938775510204081,0.22545846926054497,1.6444100037727933
19,10.10204081632653,0.23748690517086685,1.6403118988724683
20,10.26530612244898,0.24922435985069666,1.6359432731232748
21,10.428571428571429,0.2606591156272552,1.6313350612607995
22,10.591836734693878,0.27178117251671013,1.626517243288737
23,10.755102040816325,0.2825822482241759,1.6215188444788888
24,10.918367346938776,0.2930557781437143,1.616367935371165
25,11.081632653061224,0.30319691535833326,1.611091631773583
26,11.244897959183673,0.31300253063998845,1.6057160947622677
27,11.408163265306122,0.322471212449582,1.6002665306814516
28,11.571428571428571,0.33160326693696285,1.5947671911434758
29,11.73469387755102,0.340400717940927,1.5892413730287875
30,11.897959183673468,0.34886730698921736,1.5837114184859433
31,12.061224489795919,0.3570084932985239,1.578198714931606
32,12.224489795918366,0.36483145377448306,1.572723695050547
33,12.387755102040817,0.3723450830116788,1.567305836795645
34,12.551020408163264,0.3795599932936411,1.5619636633878866
35,12.714285714285714,0.38648851459284783,1.556714743316366
36,12.877551020408163,0.3931446945707231,1.5515756903382847
37,13.040816326530612,0.3995442985776382,1.5465621634789526
38,13.204081632653061,0.4057042619161299,1.5416876994436346
39,13.367346938775508,0.41162042902725476,1.5369199794900246
40,13.53061224489796,0.41729178510084064,1.5322409289785586
41,13.693877551020407,0.42272640547756096,1.5276532106862695
42,13.857142857142858,0.4279322899396199,1.523159185756051
43,14.020408163265305,0.43291736271075193,1.5187609136966582
44,14.183673469387754,0.43768947245622236,1.5144601523827073
45,14.346938775510203,0.44225639228282676,1.5102583580546758
46,14.510204081632653,0.44662581973889137,1.5061566853189026
47,14.673469387755102,0.4508053768142729,1.5021559871475876
48,14.83673469387755,0.45480260994035865,1.4982568148787918
49,15.0,0.4586249899900664,1.494459418216438
