n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
2.700000000000000000e+01,4.600000000000000000e+01,4.900000000000000000e+01,8.100000000000000000e+01,5.700000000000000000e+01,7.000000000000000000e+01,7.500000000000000000e+01,9.300000000000000000e+01,9.600000000000000000e+01,5.300000000000000000e+01,2.152499999999999858e+01
2.000000000000000000e+01,8.600000000000000000e+01,8.900000000000000000e+01,2.600000000000000000e+01,8.000000000000000000e+01,4.600000000000000000e+01,6.000000000000000000e+00,2.300000000000000000e+01,1.300000000000000000e+01,3.800000000000000000e+01,3.277499999999999858e+01
7.700000000000000000e+01,7.600000000000000000e+01,1.600000000000000000e+01,8.000000000000000000e+01,5.100000000000000000e+01,8.300000000000000000e+01,1.800000000000000000e+01,9.300000000000000000e+01,9.300000000000000000e+01,1.100000000000000000e+01,2.902812500000000284e+01
2.100000000000000000e+01,1.300000000000000000e+01,3.600000000000000000e+01,6.800000000000000000e+01,2.300000000000000000e+01,1.400000000000000000e+01,7.600000000000000000e+01,4.600000000000000000e+01,8.000000000000000000e+00,7.600000000000000000e+01,8.800000000000000000e+01
7.000000000000000000e+00,6.100000000000000000e+01,7.000000000000000000e+00,3.600000000000000000e+01,7.400000000000000000e+01,9.600000000000000000e+01,8.400000000000000355e+00,6.800000000000000000e+01,8.600000000000000000e+01,4.200000000000000000e+01,7.400000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+00,2.800000000000000000e+01,6.000000000000000000e+00,8.400000000000000000e+01,7.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+01,3.600000000000000000e+01,4.925839843749999147e+01,4.279775390625000142e+01
9.100000000000000000e+01,6.000000000000000000e+00,8.200000000000000000e+01,7.600000000000000000e+01,5.500000000000000000e+01,3.200000000000000000e+01,8.700000000000000000e+01,4.700000000000000000e+01,1.500000000000000000e+01,9.554999999999999716e+01,3.600000000000000000e+01
4.500000000000000000e+01,7.200000000000000000e+01,9.000000000000000000e+00,5.800000000000000000e+01,2.000000000000000000e+01,8.700000000000000000e+01,2.800000000000000000e+01,6.100000000000000000e+01,9.700000000000000000e+01,3.983152313232422870e+01,4.320451354980468750e+01
9.000000000000000000e+00,9.400000000000000000e+01,5.300000000000000000e+01,9.700000000000000000e+01,1.600000000000000000e+01,9.300000000000000000e+01,5.900000000000000000e+01,2.200000000000000000e+01,8.700000000000000000e+01,5.600000000000000000e+01,2.562500000000000000e+01
1.065116834109021369e+02,3.393938795860641022e+01,3.389192041980284387e+01,1.777435153238191035e+01,7.058274059419306923e+01,4.762875609972933688e+01,5.720807245453904955e+01,2.840022670621328515e+00,5.604818850595452773e+01,4.012473851517246004e+00,3.598685484765859477e-02
4.900000000000000000e+01,2.500000000000000000e+01,8.200000000000000000e+01,3.700000000000000000e+01,4.600000000000000000e+01,5.200000000000000000e+01,2.600000000000000000e+01,2.600000000000000000e+01,4.900000000000000000e+01,3.948749999999999716e+01,2.328750000000000142e+01
8.300000000000000000e+01,7.000000000000000000e+00,6.000000000000000000e+00,3.700000000000000000e+01,5.900000000000000000e+01,2.300000000000000000e+01,9.400000000000000000e+01,5.700000000000000000e+01,7.800000000000000000e+01,2.835000000000000142e+01,4.400000000000000000e+01
