n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
7.500000000000000000e+01,3.000000000000000000e+01,5.700000000000000000e+01,8.100000000000000000e+01,6.600000000000000000e+01,2.500000000000000000e+01,4.300000000000000000e+01,1.700000000000000000e+01,1.100000000000000000e+01,2.400000000000000000e+01,2.302858123779297017e+01
7.600000000000000000e+01,9.700000000000000000e+01,9.900000000000000000e+01,4.100000000000000000e+01,5.000000000000000000e+00,3.500000000000000000e+01,1.000000000000000000e+00,5.100000000000000000e+01,5.600000000000000000e+01,2.800000000000000000e+01,3.217068328857422443e+01
4.000000000000000000e+00,4.900000000000000000e+01,3.100000000000000000e+01,2.900000000000000000e+01,5.500000000000000000e+01,4.400000000000000000e+01,6.400000000000000000e+01,6.200000000000000000e+01,8.700000000000000000e+01,4.200000000000000000e+01,9.000000000000000000e+00
2.900000000000000000e+01,3.800000000000000000e+01,7.600000000000000000e+01,3.300000000000000000e+01,9.200000000000000000e+01,1.300000000000000000e+01,9.000000000000000000e+01,5.500000000000000000e+01,2.000000000000000000e+00,9.000000000000000000e+00,2.310000000000000142e+01
8.500000000000000000e+01,1.500000000000000000e+01,7.000000000000000000e+00,7.800000000000000000e+01,8.300000000000000000e+01,9.300000000000000000e+01,8.200000000000000000e+01,9.100000000000000000e+01,4.900000000000000000e+01,2.282500000000000284e+01,2.300000000000000000e+01
4.800000000000000000e+01,5.000000000000000000e+01,4.600000000000000000e+01,6.800000000000000000e+01,5.000000000000000000e+00,6.000000000000000000e+00,2.500000000000000000e+01,3.300000000000000000e+01,4.600000000000000000e+01,3.320000000000000284e+01,3.239999999999999858e+01
2.300000000000000000e+01,3.700000000000000000e+01,3.000000000000000000e+01,6.800000000000000000e+01,7.100000000000000000e+01,6.200000000000000000e+01,9.000000000000000000e+01,5.700000000000000000e+01,4.400000000000000000e+01,2.100000000000000000e+01,3.200000000000000000e+01
9.300000000000000000e+01,6.300000000000000000e+01,8.800000000000000000e+01,8.000000000000000000e+00,8.700000000000000000e+01,9.400000000000000000e+01,0.000000000000000000e+00,9.500000000000000000e+01,5.100000000000000000e+01,2.400937499999999858e+01,1.885078125000000071e+01
9.300000000000000000e+01,3.400000000000000000e+01,3.500000000000000000e+01,5.500000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+01,4.500000000000000000e+01,9.500000000000000000e+01,9.900000000000000000e+01,5.200000000000000000e+01,3.500000000000000000e+01
6.000000000000000000e+00,7.900000000000000000e+01,5.202856445312500000e+01,8.300000000000000000e+01,8.000000000000000000e+01,7.900000000000000000e+01,5.700000000000000000e+01,9.300000000000000000e+01,1.300000000000000000e+01,3.603647460937500568e+01,1.887187500000000284e+01
2.700000000000000000e+01,8.600000000000000000e+01,5.100000000000000000e+01,8.300000000000000000e+01,9.700000000000000000e+01,4.600000000000000000e+01,3.900000000000000000e+01,4.100000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,3.906001510620117756e+01
7.400000000000000000e+01,3.000000000000000000e+00,3.000000000000000000e+01,9.500000000000000000e+01,7.800000000000000000e+01,5.600000000000000000e+01,6.500000000000000000e+01,4.600000000000000000e+01,3.600000000000000000e+01,2.800000000000000000e+01,5.301864089965819460e+01
9.000000000000000000e+00,6.000000000000000000e+00,3.500000000000000000e+01,7.500000000000000000e+01,6.700000000000000000e+01,5.200000000000000000e+01,9.900000000000000000e+01,4.700000000000000000e+01,3.600000000000000000e+01,3.002751159667968750e+01,3.252157135009766620e+01
8.000000000000000000e+00,1.500000000000000000e+01,2.900000000000000000e+01,7.500000000000000000e+01,5.700000000000000000e+01,6.800000000000000000e+01,6.000000000000000000e+01,9.107109375000000284e+01,1.800000000000000000e+01,2.329648437500000213e+01,6.425234375000000853e+01
1.200000000000000000e+01,1.700000000000000000e+01,3.600000000000000000e+01,9.900000000000000000e+01,4.100000000000000000e+01,3.100000000000000000e+01,2.200000000000000000e+01,9.700000000000000000e+01,4.000000000000000000e+01,1.900000000000000000e+01,4.400000000000000000e+01
6.900000000000000000e+01,1.900000000000000000e+01,7.400000000000000000e+01,3.400000000000000000e+01,6.600000000000000000e+01,1.000000000000000000e+01,3.300000000000000000e+01,1.400000000000000000e+01,5.000000000000000000e+00,5.100000000000000000e+01,6.500000000000000000e+01
6.300000000000000000e+01,1.500000000000000000e+01,3.800000000000000000e+01,8.800000000000000000e+01,4.300000000000000000e+01,4.000000000000000000e+00,8.000000000000000000e+01,1.700000000000000000e+01,6.300000000000000000e+01,1.050000000000000000e+01,6.100000000000000000e+01
8.000000000000000000e+00,3.100000000000000000e+01,6.400000000000000000e+01,4.300000000000000000e+01,6.200000000000000000e+01,3.900000000000000000e+01,2.600000000000000000e+01,2.400000000000000000e+01,8.400000000000000000e+01,9.100013885498046307e+01,6.901337127685548012e+01
5.000000000000000000e+01,2.700000000000000000e+01,7.000000000000000000e+01,3.000000000000000000e+00,6.700000000000000000e+01,6.600000000000000000e+01,6.800000000000000000e+01,2.300000000000000000e+01,5.700000000000000000e+01,7.136718750000000000e+01,2.473124999999999929e+01
1.100000000000000000e+01,5.500000000000000000e+01,3.900000000000000000e+01,1.307781829833984233e+01,4.800000000000000000e+01,2.400000000000000000e+01,4.200000000000000000e+01,3.900000000000000000e+01,9.500000000000000000e+01,5.900000000000000000e+01,9.604928588867188921e+01
1.000000000000000000e+01,3.900000000000000000e+01,9.300000000000000000e+01,5.800000000000000000e+01,6.400000000000000000e+01,9.100000000000000000e+01,7.000000000000000000e+00,7.000000000000000000e+00,6.800000000000000000e+01,8.900000000000000000e+01,5.881562499999999716e+01
1.400000000000000000e+01,3.200000000000000000e+01,1.700000000000000000e+01,8.600000000000000000e+01,1.600000000000000000e+01,6.800000000000000000e+01,3.500000000000000000e+01,6.400000000000000000e+01,9.300000000000000000e+01,7.645540161132811363e+01,9.604872436523437784e+01
6.700000000000000000e+01,3.400000000000000000e+01,2.075000000000000178e+00,2.600000000000000000e+01,2.100000000000000000e+01,3.200000000000000000e+01,1.100000000000000000e+01,9.800000000000000000e+01,9.700000000000000000e+01,6.100000000000000000e+01,7.290000000000000568e+01
6.500000000000000000e+01,3.400000000000000000e+01,7.600000000000000000e+01,3.700000000000000000e+01,5.700000000000000000e+01,2.400000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+01,7.100000000000000000e+01,2.415000000000000213e+01,8.500000000000000000e+01
8.600000000000000000e+01,4.600000000000000000e+01,1.700000000000000000e+01,1.100000000000000000e+01,8.800000000000000000e+01,8.000000000000000000e+01,3.200000000000000000e+01,6.800000000000000000e+01,2.800000000000000000e+01,4.000000000000000000e+01,7.700000000000000000e+01
4.000000000000000000e+00,9.800000000000000000e+01,1.700000000000000000e+01,1.700000000000000000e+01,7.000000000000000000e+01,1.800000000000000000e+01,1.332499999999999929e+01,1.124062500000000142e+01,9.200000000000000000e+01,5.216250000000000142e+01,7.000000000000000000e+00
7.300000000000000000e+01,3.900000000000000000e+01,7.800000000000000000e+01,8.500000000000000000e+01,1.900000000000000000e+01,1.200000000000000000e+01,2.100000000000000000e+01,2.400000000000000000e+01,7.800000000000000000e+01,4.503515625000000000e+01,9.129453124999999147e+01
