n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
9.800000000000000000e+01,7.500000000000000000e+01,8.100000000000000000e+01,5.900000000000000000e+01,2.200000000000000000e+01,4.000000000000000000e+00,6.500000000000000000e+01,2.300000000000000000e+01,2.700000000000000000e+01,1.867500000000000426e+01,2.423572998046874716e+01
4.000000000000000000e+00,4.700000000000000000e+01,8.200000000000000000e+01,2.700000000000000000e+01,3.600000000000000000e+01,8.500000000000000000e+01,6.500000000000000000e+01,7.000000000000000000e+01,4.400000000000000000e+01,9.450000000000001066e+00,1.500000000000000000e+01
5.200000000000000000e+01,8.800000000000000000e+01,4.200000000000000000e+01,4.900000000000000000e+01,6.600000000000000000e+01,2.400000000000000000e+01,9.100000000000000000e+01,9.700000000000000000e+01,9.600000000000000000e+01,2.015625000000000000e+01,2.310781250000000142e+01
3.200000000000000000e+01,6.200000000000000000e+01,4.400000000000000000e+01,3.600000000000000000e+01,3.200000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.500000000000000000e+01,3.400000000000000000e+01,4.100000000000000000e+01,3.700000000000000000e+01
3.300000000000000000e+01,6.100000000000000000e+01,9.900000000000000000e+01,6.400000000000000000e+01,7.100000000000000000e+01,3.000000000000000000e+00,5.300000000000000000e+01,9.700000000000000000e+01,2.900000000000000000e+01,2.900000000000000000e+01,2.625000000000000000e+01
5.500000000000000000e+01,9.600000000000000000e+01,2.200000000000000000e+01,3.700000000000000000e+01,6.200000000000000000e+01,3.000000000000000000e+00,7.000000000000000000e+01,5.300000000000000000e+01,2.500000000000000000e+01,6.000000000000000000e+00,3.651858215332030966e+01
7.300000000000000000e+01,7.800000000000000000e+01,4.700000000000000000e+01,1.900000000000000000e+01,4.000000000000000000e+00,3.900000000000000000e+01,2.500000000000000000e+01,6.000000000000000000e+01,6.800000000000000000e+01,3.884277343750000000e+01,1.500000000000000000e+01
5.000000000000000000e+01,1.000000000000000000e+00,5.100000000000000000e+01,2.500000000000000000e+01,3.500000000000000000e+01,6.970000000000000284e+01,3.700000000000000000e+01,8.000000000000000000e+01,7.900000000000000000e+01,3.613095746040343670e+01,3.676904253959656899e+01
1.000000000000000000e+00,2.103281249999999858e+01,1.600000000000000000e+01,6.100000000000000000e+01,2.000000000000000000e+01,1.800000000000000000e+01,2.700000000000000000e+01,2.800000000000000000e+01,4.912968749986321626e+01,4.915312500014260877e+01,1.500000000000000000e+01
7.400000000000000000e+01,6.300000000000000000e+01,5.300000000000000000e+01,3.100000000000000000e+01,2.900000000000000000e+01,1.400000000000000000e+01,5.000000000000000000e+01,9.200000000000000000e+01,8.500000000000000000e+01,9.000000000000000000e+00,3.400000000000000000e+01
1.900000000000000000e+01,2.049804687500000000e+00,9.600000000000000000e+01,2.700000000000000000e+01,6.000000000000000000e+00,3.700361328124999716e+01,4.900000000000000000e+01,6.800000000000000000e+01,5.100000000000000000e+01,1.947500000000000142e+01,3.600000000000000000e+01
1.000000000000000000e+00,1.609256439208984801e+01,8.800000000000000000e+01,9.100000000000000000e+01,8.144296875000000568e+01,2.000000000000000000e+01,4.100000000000000000e+01,7.700000000000000000e+01,9.700000000000000000e+01,4.600000000000000000e+01,6.600489063262941158e+01
8.800000000000000000e+01,6.700000000000000000e+01,3.800000000000000000e+01,3.400000000000000000e+01,1.000195312500000044e+00,6.800000000000000000e+01,5.600000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,4.380625000000000568e+01,2.474531250000000071e+01
4.800000000000000000e+01,8.400000000000000000e+01,5.100000000000000000e+01,7.800000000000000000e+01,7.200000000000000000e+01,4.700000000000000000e+01,1.400000000000000000e+01,3.000000000000000000e+00,5.300000000000000000e+01,3.602812500000000284e+01,4.405078125000000000e+01
4.100000000000000000e+01,5.100000000000000000e+01,9.000000000000000000e+00,8.800000000000000000e+01,7.000000000000000000e+00,3.400000000000000000e+01,4.800000000000000000e+01,3.500000000000000000e+01,9.000000000000000000e+01,8.000000000000000000e+00,4.365097503662109091e+01
8.500000000000000000e+01,1.910321116447448778e-04,5.700000000000000000e+01,6.200000000000000000e+01,5.100000000000000000e+01,3.500000000000000000e+01,6.800000000000000000e+01,4.600000000000000000e+01,7.300000000000000000e+01,2.100157138109207011e+01,5.155781250000000426e+01
8.600000000000000000e+01,6.400000000000000000e+01,2.600000000000000000e+01,7.400000000000000000e+01,3.800000000000000000e+01,2.600000000000000000e+01,8.700000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+01,6.500000000000000000e+01,6.505078125000000000e+01
4.500000000000000000e+01,9.000000000000000000e+00,5.700000000000000000e+01,9.200000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,1.800000000000000000e+01,7.600000000000000000e+01,8.400000000000000355e+00,1.900000000000000000e+01,1.500000000000000000e+01
7.600000000000000000e+01,2.200000000000000000e+01,6.000000000000000000e+01,7.400000000000000000e+01,2.100000000000000000e+01,5.800000000000000000e+01,2.200000000000000000e+01,3.000000000000000000e+00,4.800000000000000000e+01,2.600000000000000000e+01,5.967805023193359659e+01
4.500000000000000000e+01,2.046875000000000000e+00,4.500000000000000000e+01,5.200000000000000000e+01,5.000000000000000000e+01,3.500000000000000000e+01,9.000000000000000000e+00,1.900000000000000000e+01,7.800000000000000000e+01,5.608749999999999858e+01,1.000000000000000000e+00
6.900000000000000000e+01,9.700000000000000000e+01,6.700000000000000000e+01,8.500000000000000000e+01,7.100000000000000000e+01,3.000000000000000000e+00,3.300000000000000000e+01,5.900000000000000000e+01,9.000000000000000000e+01,4.100000000000000000e+01,2.809687500000000426e+01
4.000000000000000000e+00,8.504999999999999716e+01,5.700000000000000000e+01,1.000000000000000000e+00,6.800000000000000000e+01,7.700000000000000000e+01,5.700000000000000000e+01,3.100000000000000000e+01,6.600000000000000000e+01,4.700000000000000000e+01,3.700000000000000000e+01
6.300000000000000000e+01,2.800000000000000000e+01,5.000000000000000000e+01,4.200000000000000000e+01,8.500000000000000000e+01,0.000000000000000000e+00,8.300000000000000000e+01,1.200000000000000000e+01,3.100000000000000000e+01,2.300000000000000000e+01,6.302460937499999716e+01
5.700000000000000000e+01,9.500000000000000000e+01,3.300000000000000000e+01,3.800000000000000000e+01,2.500000000000000000e+01,7.000000000000000000e+01,2.000000000000000000e+00,9.300000000000000000e+01,8.000000000000000000e+01,5.000000000000000000e+00,7.800000000000000000e+01
4.400000000000000000e+01,8.700000000000000000e+01,5.200000000000000000e+01,1.000000000000000000e+01,7.700000000000000000e+01,7.100000000000000000e+01,5.400000000000000000e+01,2.000000000000000000e+01,7.500000000000000000e+01,7.290000000000000568e+01,2.697500000000000142e+01
3.800000000000000000e+01,2.400000000000000000e+01,7.600000000000000000e+01,7.000000000000000000e+00,6.000000000000000000e+00,1.300000000000000000e+01,4.000000000000000000e+00,5.700000000000000000e+01,5.700000000000000000e+01,4.000000000000000000e+01,6.302460937499999716e+01
1.400000000000000000e+01,1.600000000000000000e+01,1.900000000000000000e+01,8.300000000000000000e+01,8.200000000000000000e+01,4.000000000000000000e+01,6.200000000000000000e+01,9.500000000000000000e+01,4.300000000000000000e+01,3.000000000000000000e+01,5.400000000000000000e+01
