n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
6.000000000000000000e+00,8.000000000000000000e+00,3.300000000000000000e+01,6.300000000000000000e+01,7.700000000000000000e+01,9.600000000000000000e+01,4.100000000000000000e+01,6.000000000000000000e+00,8.300000000000000000e+01,2.000000000000000000e+00,2.500000000000000052e-04
7.800000000000000000e+01,7.900000000000000000e+01,2.800000000000000000e+01,4.300000000000000000e+01,2.400000000000000000e+01,5.000000000000000000e+00,9.000000000000000000e+00,7.600000000000000000e+01,1.400000000000000000e+01,1.011864471435546875e+01,2.180084609985351562e+01
1.000000000000000000e+00,9.800000000000000000e+01,6.661230468750000000e+01,5.400000000000000000e+01,2.900000000000000000e+01,3.500000000000000000e+01,6.663769531250000000e+01,8.800000000000000000e+01,1.700000000000000000e+01,1.100000000000000000e+01,2.100000000000000000e+01
7.500000000000000000e+01,3.400000000000000000e+01,6.700000000000000000e+01,9.100000000000000000e+01,4.300000000000000000e+01,4.400000000000000000e+01,8.600000000000000000e+01,7.100000000000000000e+01,2.900000000000000000e+01,2.000000000000000000e+00,3.000240325927734375e+01
7.400000000000000000e+01,7.200000000000000000e+01,8.700000000000000000e+01,0.000000000000000000e+00,4.900000000000000000e+01,3.500000000000000000e+01,2.600000000000000000e+01,1.200000000000000000e+01,1.700000000000000000e+01,2.800000000000000000e+01,2.100000000000000089e+00
6.800000000000000000e+01,8.500000000000000000e+01,9.100000000000000000e+01,5.500000000000000000e+01,1.900000000000000000e+01,3.000000000000000000e+01,8.700000000000000000e+01,9.800000000000000000e+01,6.100000000000000000e+01,2.861250000000000426e+01,3.698437500000000000e+01
6.000000000000000000e+01,5.600000000000000000e+01,2.500000000000000000e+01,6.300000000000000000e+01,5.300000000000000000e+01,9.800000000000000000e+01,5.300000000000000000e+01,6.900000000000000000e+01,9.600000000000000000e+01,7.000000000000000000e+00,2.809687500000000426e+01
1.300000000000000000e+01,3.700000000000000000e+01,8.700000000000000000e+01,0.000000000000000000e+00,2.300000000000000000e+01,9.200000000000000000e+01,3.044999999999996021e+01,2.200000000000000000e+01,8.200000000000000000e+01,1.800000000000000000e+01,4.400000000000000000e+01
7.000000000000000000e+01,8.900000000000000000e+01,1.000000000000000000e+00,7.800000000000000000e+01,6.800000000000000000e+01,3.600000000000000000e+01,4.300000000000000000e+01,6.033704133331775665e+01,7.800000000000000000e+01,2.900000000000000000e+01,3.402150991111993505e+01
3.000000000000000000e+00,3.000000000000000000e+00,7.072499999999999432e+01,8.800000000000000000e+01,4.500000000000000000e+01,4.100000000000000000e+01,8.800000000000000000e+01,1.600000000000000000e+01,8.000000000000000000e+01,8.300000000000000000e+01,8.302500000000000568e+01
