t,Xi,Xa
7.0,0.0010756572885758,1.602645407545166
8.0,0.2644819044699899,1.7005938304981503
9.0,0.4763019537538781,1.3679571520669709
10.0,1.0732799924693524,1.073934944767758
11.0,1.2318548451801874,1.036657327874087
12.0,1.2577395633388992,1.0236220957413729
13.0,1.2873375532540083,1.0508445743017614
14.0,1.3420972603963814,1.0117458442873024
15.0,1.2270796186643205,1.0939906178198968
7.0,0.0010756572885758,1.602645407545166
8.0,0.20461670681358973,1.7442708411935741
9.0,0.19706859252005643,1.7273159033843497
10.0,0.21293639561719732,1.7473118701699983
11.0,0.21689870517627477,1.7197455713979235
12.0,0.23945213348835848,1.7268300967807684
13.0,0.3032013074675338,1.6568282377710908
14.0,0.26905214971184493,1.6864615435209638
15.0,0.36534041019386737,1.535931156793042
7.0,0.0010756572885758,1.602645407545166
8.0,0.18735115004013114,1.7285237037826662
9.0,0.21523069569919473,1.717384118393788
10.0,0.22171983773181209,1.706177776069915
11.0,0.2323162315847307,1.7248561489572531
12.0,0.24908310612339887,1.6932056195829008
13.0,0.2792281619405149,1.639548472528414
14.0,0.3282707217477054,1.5998960806942828
15.0,0.8641391619640784,1.0855852890354316
7.0,0.0010756572885758,1.602645407545166
8.0,0.18741657385555682,1.7055230793153837
9.0,0.30842391764310756,1.594017728767403
10.0,0.775877108506458,1.0999526176762404
11.0,1.1969893674486924,1.1203142556841816
12.0,1.2176703859612261,1.044396075518832
13.0,1.1649638943561478,1.0337370611059877
14.0,1.2965681289052768,1.0436134033977047
15.0,1.2247303203648878,1.0512215364733442
7.0,0.0010756572885758,1.602645407545166
8.0,0.24889950925349866,1.6899540007279856
9.0,0.19648184728124832,1.7407183596196183
10.0,0.25023412950746254,1.7087454512199223
11.0,0.27290489340817065,1.6520295777868408
12.0,0.3987292983090797,1.5344026259506311
13.0,1.0007732633081692,1.1078018309312396
14.0,1.183933321495436,1.0341990366902063
15.0,1.2216780080139917,1.0158355956037182
7.0,0.0010756572885758,1.602645407545166
8.0,0.29183211018937494,1.6783808595867231
9.0,0.6570531474262851,1.165812246864711
10.0,1.1806071505619569,0.9935946837749133
11.0,1.1820267421570256,1.0879095684307674
12.0,1.2548448465888968,1.0628450920187276
13.0,1.1930786112283325,1.0125368425546881
14.0,1.2151254624562218,1.0710952513482155
15.0,1.2045866591951762,1.0844863772018718
7.0,0.0010756572885758,1.602645407545166
8.0,0.2434561896843087,1.704954417775037
9.0,0.18572612520360907,1.733060589333552
10.0,0.24249402969749664,1.7126205714306404
11.0,0.2973134194666418,1.6289482418017855
12.0,0.49869401595640434,1.2868023114773561
13.0,1.1504215180301662,0.9979761958740183
14.0,1.2786676626508027,1.0585013803856413
15.0,1.2249361615096945,1.044272792912429
7.0,0.0010756572885758,1.602645407545166
8.0,0.21047139955008,1.7352652824333672
9.0,0.2139836408802086,1.6862381601173142
10.0,0.21787867126749141,1.7201250153293692
11.0,0.2250414220568956,1.7199779831159459
12.0,0.30198405349891977,1.6342568954286236
13.0,0.8665087273914197,1.062249934125256
14.0,1.132316004440238,1.026872559222407
15.0,1.1752970329966357,1.0407767005832869
7.0,0.0010756572885758,1.602645407545166
8.0,0.22457943909576147,1.703695168590006
9.0,0.28710022641911875,1.6530322887753248
10.0,0.8858351188147698,1.0321986184716436
11.0,1.1917131143051436,1.0608853079071843
12.0,1.2646793566623284,1.065496939030301
13.0,1.3068687108221968,1.0424217136688383
14.0,1.3220501074598274,1.0423279182830978
15.0,1.3438289375169614,1.0963767254540677
7.0,0.0010756572885758,1.602645407545166
8.0,0.20815378043504618,1.7073668783937292
9.0,0.24477925174325052,1.6866556566635043
10.0,0.2657401898948266,1.7123551439937064
11.0,0.30084197963750164,1.6181064383466592
12.0,0.3428700912938892,1.5519056406112999
13.0,1.0173721219287553,1.0335699447222788
14.0,1.172948979739445,1.0882480792839022
15.0,1.285730519610934,1.006676154906787
7.0,0.0010756572885758,1.602645407545166
8.0,0.2027812565218344,1.7280743082797225
9.0,0.1901536877637586,1.710799729879509
10.0,0.2410780295311395,1.7324410325874706
11.0,0.23380672726223337,1.7266623898394315
12.0,0.2700560000421871,1.669358919583216
13.0,0.23070413984863575,1.7132273911639353
14.0,0.2056274493125679,1.699774025454085
15.0,0.2934292558321367,1.6788986712843879
7.0,0.0010756572885758,1.602645407545166
8.0,0.21036068415222475,1.701641730605157
9.0,0.31018641370894645,1.6280522720667432
10.0,0.7947952473579818,1.168652007596627
11.0,1.1072637647034396,1.0006219134912013
12.0,1.2422814012042929,1.0421164570657027
13.0,1.1815412725568368,1.0536399167697348
14.0,1.277373000901495,1.0579043618466841
15.0,1.288637915045881,1.0076122804053307
7.0,0.0010756572885758,1.602645407545166
8.0,0.26552005592066147,1.6843052045826845
9.0,0.26680458760704684,1.6763050645960442
10.0,0.35088305079580207,1.542143337720045
11.0,0.9625515909938887,1.0617276706861905
12.0,1.2092253708983838,1.0649265509617938
13.0,1.2551246414526396,1.046169590673401
14.0,1.1456306660810565,1.070768694441544
15.0,1.2041434280355203,1.0550931150532243
7.0,0.0010756572885758,1.602645407545166
8.0,0.21621753155349605,1.7188895949091898
9.0,0.3786026736605259,1.4820009524345734
10.0,0.9601048176112943,1.0564837372035596
11.0,1.1863159402423715,1.0943012023765333
12.0,1.180499826666052,1.0741045028650473
13.0,1.188842323615607,1.045345904835735
14.0,1.2146001360153857,1.0240871339603257
15.0,1.1544816923342958,0.9853623147395411
7.0,0.0010756572885758,1.602645407545166
8.0,0.2085795224825635,1.7006531074752642
9.0,0.23073490977136946,1.7355667100069465
10.0,0.24411380209185585,1.7355135876281744
11.0,0.25599710883699167,1.6930252727817314
12.0,0.29123460461530537,1.7118889970400228
13.0,0.2944163430492853,1.6397517180665904
14.0,0.6746538027800005,1.149314782218311
